Name,Author,Image Link,Synopsis,Tags
"Unwilling Eldritch Horror of Fortune","Tismon","https://www.royalroadcdn.com/public/covers-large/78681-unwilling-eldritch-horror-of-fortune.jpg?time=1707624153","Walter's having a real bad day. His normal life's been turned upside down and he finds himself in a situation right out of his nightmares. But Walter's always able to find the good and bad in every situation.","LitRPG, Progression, Anti-Hero Lead, Strategy, Comedy, Action, Adventure, Mystery, Dystopia, Low Fantasy, Magic, Male Lead, Soft Sci-fi, Supernatural"
"First Contact","Ralts Bloodthorne","https://www.royalroadcdn.com/public/covers-large/33726-first-contact.jpg?time=1687032034","Eight Thousand Years after the Glassing of Earth, Terran Descent Humanity has largely become a post-scarcity society based on consent and enjoying life. With the discovery of another ancient race beyond the ""Great Gulf"", events and history collide to draw the Terran Confederacy into war against a hundred million year old empire that has always won and believes it always will. With allies and enemies of multiple species, the Orion Galactic Arm Spur will be wracked by warfare the likes of which have not been seen. Cracked, harried, wounded, and damaged, Terran Descent Humanity willfully throws itself against the universe itself.","Anti-Hero Lead, Space Opera, War and Military, Multiple Lead Characters, Sci-fi, Action, Adventure, Cyberpunk, Female Lead, First Contact, Male Lead, Mythos, Non-Human Lead, Soft Sci-fi"
"Evil to Eden: Turning a Haunted Castle into a Bed and Breakfast (Slice of Life LitRPG)","Tater Prince","https://www.royalroadcdn.com/public/covers-large/evil-to-eden-turning-a-haunted-castle-into-a-bed.jpg?time=1686364794","From Haunting to Hosting: A Cozy, Slice of Life LitRPG!","LitRPG, Progression, Comedy, Male Lead, Slice of Life, Action, Adventure, Fantasy, High Fantasy, Magic"
"Dungeon Planet: The Healer Always Leaves Alive","six-perihelion","https://www.royalroadcdn.com/public/covers-large/68872-dungeon-planet-the-healer-always-leaves.jpg?time=1684835558","When a world falls through the false vacuum of its native universe, it ends up in the Spiral — an endless twisting helix of planets, stars, and civilizations, where a thousand different fundamental rules mix and blend to form the patchwork cosmos of the Weave.","LitRPG, Dungeon, Male Lead, Sci-fi, Slice of Life, Action, Fantasy, Magic, Progression"
"What Will Be | Book 1: Perseverance","Googieman","https://www.royalroadcdn.com/public/covers-large/what-will-be-book-1-perseverance-aaaabytxqhq.jpg?time=1706668999","Death is the end. At least, it should be. When Will is ripped from the life he has and the woman he loves, the last thing he expects is to be reborn as a baby with his memories intact. In a world where magic makes the impossible a reality, how much of his new life is Will prepared to sacrifice for the chance to reclaim what he lost?","LitRPG, Portal Fantasy / Isekai, Progression, Male Lead, Slice of Life, Adventure, Drama, Fantasy, GameLit, Magic, Reincarnation"
"The Many Lives of Cadence Lee","vladerag","https://www.royalroadcdn.com/public/covers-full/35925-the-many-lives-of-cadence-lee.jpg?time=1601484088","Cadence Lee thought she was a normal girl, perhaps a little well to do, but not exceptionally so.  She had her college classes, she had her job that her uncle gave her, and she had a nice boyfriend who was sweet if a little awkward.","LitRPG, Reincarnation, Progression, Strategy, Female Lead, Action, Adventure, Fantasy, Romance, High Fantasy, Magic, Slice of Life"
"I Ran Away To Evil Book 2 - I Duet Evil and Love - A Cozy LitRPG RomCom","Mystic Neptune","https://www.royalroadcdn.com/public/covers-large/68117-i-ran-away-to-evil-a-cozy-litrpg-romcom.jpg?time=1705302978","*** updates mon wed thurs fri **","LitRPG, Villainous Lead, Comedy, Multiple Lead Characters, Slice of Life, Drama, Fantasy, Romance, Female Lead, Magic"
"Herald of the Stars - A Warhammer 40k, Rogue Trader Fanfiction","Aethelred","https://www.royalroadcdn.com/public/covers-large/herald-of-the-stars-a-warhammer-40k-rogue-trader.jpg?time=1666728033","British plumber, Aldrich Isengrund donates his body to science only to wake up in the far future as the last survivor of a Federation experiment.","GameLit, Progression, Space Opera, War and Military, Grimdark, Action, Adventure, Fantasy, Sci-fi, Cyberpunk, Dystopia, Male Lead, Strategy, Technologically Engineered"
"Deadman (STUBBED)","Seersucker","https://www.royalroadcdn.com/public/covers-large/51018-deadman-a-post-apoc-litrpg.jpg?time=1690809782","Book 1 Headed to KU and Audible 9/12/23 Has been stubbed as of 9/1/23","LitRPG, Progression, Post Apocalyptic, Anti-Hero Lead, Non-Human Lead, Action, Adventure, Drama, Sci-fi, Dystopia, GameLit, Male Lead, Soft Sci-fi, Strong Lead"
"An Unborn Hero","cathfach","https://www.royalroadcdn.com/public/covers-large/an-unborn-hero-aaaadon-bi.jpg?time=1677490986","This is the tale of an epic battle between the embryo of a hero and the egg of a demon lord.","LitRPG, Portal Fantasy / Isekai, Progression, Comedy, Female Lead, Adventure, Fantasy, GameLit, High Fantasy, Magic, Reincarnation"
"Godpuncher: A Divine Beatdown LitRPG","J Pal","https://www.royalroadcdn.com/public/covers-large/83757-godpuncher-a-divine-beatdown-litrpg.jpg?time=1712230771","The stronger his opponent, the harder Nil hits.","LitRPG, Portal Fantasy / Isekai, Progression, Xianxia, Male Lead, Action, Adventure, Contemporary, Fantasy, Attractive Lead, Dystopia, Magic, Martial Arts"
"The Wardens of Eternity: Alice Rising","Everseas","https://www.royalroadcdn.com/public/covers-large/76542-the-wardens-of-eternity-alice-rising.jpg?time=1700842781","(This is the second story in the Wardens of Eternity series and connects with  'One Dungeon to Rule them All')","LitRPG, Dungeon, Martial Arts, Multiple Lead Characters, Sci-fi, Action, Fantasy, Mystery, Female Lead, GameLit, Male Lead, Progression, Slice of Life"
"The Stars Have Eyes","Exterminatus","https://www.royalroadcdn.com/public/covers-full/33261-the-stars-have-eyes.jpg?time=1591968748","The universe was a vast, empty, dark, and uncaring place. Then life happened, and the universe was changed forever. Only a teeny-tiny bit, but definitely different. Then again, the universe changes a teeny-tiny bit every second of every day. For instance, if someone were to get off the couch and randomly drink a glass of milk? Bam! One less glass of milk in the universe. Changed forever. Well, excluding any time-travel shenanigans, but anyone who puts a big old hole in the time-space continuum just to un-drink a glass of milk should really reevaluate their priorities. Unless, of course, they were attempting to prevent some massive catastrophe vis-a-vis said glass of milk. Such a scenario is by no means impossible, as one should never underestimate the importance of calcium.","Virtual Reality, Comedy, Non-Human Lead, Sci-fi, Slice of Life, Horror, Romance, Female Lead, Strong Lead"
"KILL ALL KAIJU","HeroGuy","https://www.royalroadcdn.com/public/covers-large/kill-all-kaiju-aadaxp9lnrq.jpg?time=1698787603","[Participant in the April 2024 Royal Road Writathon challenge]","Time Travel, Progression, Non-Human Lead, Sci-fi, Action, Adventure, Male Lead"
"The Iron Teeth:  A Goblin's Tale","ClearMadness","https://www.royalroadcdn.com/public/covers-full/4293-the-iron-teeth-a-goblins-tale.jpg","A new, darker age is dawning. The greed of kings has ignited a seemingly endless war. As men fight, the monsters of the untamed wilds are devouring the frontier. Villages are abandoned as fields go fallow. Murderous bandits roam the desolation. None of that matters to a nameless goblin slave. He just wants to eat as much food as he can shove into his mouth when no one is looking, but fate runs a twisted course, so instead he is whisked away to the far off Iron Teeth Mountains. To stay alive, he will have to evolve into something more than a simple goblin, and carve a bloody path through the forests of the North. However, first he has to get over his crippling fear of trees, and survive in a place where everything considers him to be the perfect size for a quick snack...","Anti-Hero Lead, Comedy, Non-Human Lead, Adventure, Fantasy, Grimdark, Magic, Male Lead"
"The Shining Wyrm","Nighzmarquls","https://www.royalroadcdn.com/public/covers-large/the-shining-wyrm-aadal5quvxq.jpg?time=1708034099","The story of Jewel, a dutiful daughter.","War and Military, Non-Human Lead, Slice of Life, Strong Lead, Drama, Adventure, Fantasy, Historical, Female Lead, High Fantasy, Magic, Mythos, Supernatural"
"Commerce Emperor","Maxime J. Durand (Void Herald)","https://www.royalroadcdn.com/public/covers-large/commerce-emperor-aaaas4w7fxm.jpg?time=1686562661","Commerce Emperor is now available on Amazon Kindle and Audible!","Progression, Ruling Class, Male Lead, Strong Lead, Drama, Adventure, Fantasy, Magic, Strategy, Supernatural"
"Hyperion Evergrowing: A Monster Evolution LitRPG","Nilsimus","https://www.royalroadcdn.com/public/covers-large/71408-hyperion-evergrowing-a-monster-evolution.jpg?time=1690526153","Leif Vin is mortally wounded and left for dead at the conclusion of a devastating battle.","LitRPG, Reincarnation, Progression, War and Military, Martial Arts, Action, Adventure, Fantasy, Sci-fi, Artificial Intelligence, High Fantasy, Magic, Male Lead, Non-Human Lead, Ruling Class, Soft Sci-fi, Strong Lead"
"Manifest Fantasy","DrDoritosMD","https://www.royalroadcdn.com/public/covers-large/manifest-fantasy-aacanrwyebq.jpg?time=1696284321","Captain Henry Donnager expected a quiet career babysitting a dusty relic in Area 51. But when a test unlocks a portal to a world of knights and magic, he's thrust into command of Alpha Team, an elite unit tasked with exploration.","Portal Fantasy / Isekai, Dungeon, War and Military, Multiple Lead Characters, Sci-fi, Action, Adventure, Fantasy, First Contact, High Fantasy, Low Fantasy, Magic, Male Lead, Progression, Strategy, Strong Lead"
"The Broken Knife","SilverSidhe","https://www.royalroadcdn.com/public/covers-large/the-broken-knife-aada2ynnphq.jpg?time=1699391881","Kaz is a kobold, just trying to survive, grow, and protect his tribe. But his efforts are about to become complicated, as dragons are nesting in a cave nearby, and humans are seeking an ancient, deadly secret in his mountain. Join Kaz as he finds out what magic and cultivation are, gets up close and personal with a dragon of his own, and delves deep into the mountain to find secrets... and a freedom he never dared to hope for.","Progression, Xianxia, Non-Human Lead, Drama, Action, Adventure, Fantasy, High Fantasy, Magic, Male Lead"
"Broker","TheBroker","https://www.royalroadcdn.com/public/covers-large/82768-broker.jpg?time=1709923942","The opening of Pandora's Box changed the world, giving rise to an age of superhumans and monsters. Yet mankind was not safe from its own hubris, and in the end, it destroyed itself. It's the end of the world, but Sonya Chernovna has been given a chance for a redo. With her memories of the world to come and her deep hatred of the society that had risen out of Pandora's Light, Sonya sets out to change the future.","Time Loop, Urban Fantasy, Villainous Lead, Super Heroes, Female Lead, Action, Drama, Sci-fi, Tragedy, Attractive Lead, Secret Identity, Strong Lead"
"Edge Cases","SilverLinings","https://www.royalroadcdn.com/public/covers-large/52639-edge-cases.jpg?time=1689067931","Book one has been taken down for Amazon and is currently available for purchase, with an audiobook narrated by Travis Baldree. I'm extremely thankful to everyone that has helped me get this far; I hope to make the book available for free again one day.","LitRPG, Multiple Lead Characters, Action, Adventure, Fantasy, Mystery, Female Lead, High Fantasy, Male Lead, Non-Human Lead"
"Prophecy Approved Companion","Tevagah","https://www.royalroadcdn.com/public/covers-large/35549-prophecy-approved-companion.jpg?time=1656597504","","Virtual Reality, Comedy, Non-Human Lead, Adventure, Fantasy, Satire, Artificial Intelligence, Female Lead, GameLit, High Fantasy, LitRPG, Magic, Soft Sci-fi"
"Industrial Strength Magic","Macronomicon","https://www.royalroadcdn.com/public/covers-large/industrial-strength-magic-aaaam9ad4xe.jpg?time=1658932760","Perry Z has a Magical Destiny.Born to a Magical Fantasy Princess and a nine-to-five Supervillain, Perry's never felt...adequate. He's completely magically dull, and without a scrap of superpowers.When The System boots, he's forced to follow in his father's footsteps, but he'd rather take after his mother.Maybe there's a way he can do both...Book one on Kindle","LitRPG, Super Heroes, Comedy, Action"
"Skadi's Saga (A Norse-Inspired Progression Fantasy)","pwtucker","https://www.royalroadcdn.com/public/covers-large/skadis-saga-a-norse-inspired-progression-fantasy-aada20n4lxe.jpg?time=1653863013","An obscure jarl’s daughter will rise to wield the power of the gods.","Progression, War and Military, Grimdark, Female Lead, Strong Lead, Action, Adventure, Fantasy, Historical, Attractive Lead, High Fantasy, Low Fantasy, Magic, Mythos, Supernatural"
"Surviving the Succession (A Transmigration Fantasy)","umedrop24","https://www.royalroadcdn.com/public/covers-full/transmigrating-into-the-main-characters-political.jpg?time=1641606653","Formerly titled Transmigrating Into the Main Character's Political Rival","Portal Fantasy / Isekai, Time Travel, Ruling Class, Drama, Action, Fantasy, Historical, Gender Bender, Low Fantasy, Magic, Reincarnation, Strategy"
"Valor and Violence","JEPayne","https://www.royalroadcdn.com/public/covers-large/birth-of-a-legend-aaba0cttobe.jpg?time=1654423872","Valor and Violence is a series of short stories following different, yet all equally colourful, characters set in the same world.","War and Military, Multiple Lead Characters, Slice of Life, Strong Lead, Action, Adventure, Fantasy, Short Story, Female Lead, High Fantasy, Magic, Male Lead, Strategy"
"I Will Touch the Skies - A Pokemon Fanfiction","Soussouni","https://www.royalroadcdn.com/public/covers-large/61228-i-will-touch-the-skies-a-pokemon-fanfiction.jpg?time=1701813800","Grace Pastel is a young girl who lives a cozy life in Jubilife city with her father, and for her, Pokemon battles are just something that she watches on television or online. Entertainment to be seen at a distance. After turning fifteen, she watched as young people her age got ready for their first journey across Sinnoh, all aiming to become the Champion. She usually scoffed at them, wondering how one could throw away a comfortable life in the city to risk their lives in the wild for an unobtainable goal. And yet when she was asked by her father to deliver a package to her mother living two towns over, something clicked in her brain.","Urban Fantasy, Progression, Grimdark, Female Lead, Drama, Action, Adventure, Fantasy, Supernatural"
"The Riyria Chronicles [WITTY BANTER | EPIC FANTASY | ASSASSINS | THIEVES | MERCENARIES]","MichaelJSullivan","https://www.royalroadcdn.com/public/covers-large/71578-the-riyria-chronicles-witty-banter-bromance.jpg?time=1693203931","Royce Melborn (a cynical ex-assassin) and Hadrian Blackwater (an idealistic ex-mercenary) couldn't be more different from one another, but desperate times makes for strange partnerships and sometimes the best friendships are bound by blood - both theirs and those who dare to oppose them. New to Royal Road is two full-length published Riyria novels and one rough draft of a novel to be released next summer.","Anti-Hero Lead, Male Lead, Action, Adventure, Fantasy, Historical, High Fantasy, Magic"
"Godclads (Eldritch Cyberpunk Progression) [BOOK 1 UNLEASHED]","OstensibleMammal","https://www.royalroadcdn.com/public/covers-large/59663-godclads-eldritch-cyberpunk-progression.jpg?time=1710691975","Avo was born to destroy New Vultun. In a twist of fate, he’ll become its only hope for salvation.","LitRPG, Urban Fantasy, Progression, Post Apocalyptic, Anti-Hero Lead, Action, Adventure, Fantasy, Sci-fi, Artificial Intelligence, Cyberpunk, Dystopia, Genetically Engineered, Grimdark, High Fantasy, Magic, Male Lead, Mythos, Non-Human Lead, Ruling Class, Soft Sci-fi, Strategy, Strong Lead, Supernatural, Technologically Engineered, War and Military"
"Dungeon Crawler Carl Book 6: The Ghosts of Earth","DoctorHepa","https://www.royalroadcdn.com/public/covers-full/29358-dungeon-crawler-carl.jpg","Dungeon Crawler Carl Book 1 is now on Amazon! mybook.to/dungeoncrawlercarl","LitRPG, Dungeon, Post Apocalyptic, Strategy, Comedy, Action, Adventure, Fantasy, GameLit, Grimdark, Low Fantasy, Magic, Male Lead, Non-Human Lead, Strong Lead, Supernatural"
"A Real Goddess Would Let Nobody Die","noether","https://www.royalroadcdn.com/public/covers-large/65941-a-real-goddess-would-let-nobody-die.jpg?time=1685589049","A family of three elite mages has defeated Oscanion, a would-be tyrant mage-emperor who had made himself an enemy of humanity. But, it does not feel like victory to white magic prodigy Menelyn: her adoptive father and sister did not survive Oscanion's suicidal final attack, her inadequate shields failing to protect them.","Progression, Psychological, Female Lead, Strong Lead, Tragedy, Drama, Short Story, High Fantasy, Magic, Mythos"
"Epilogue","Etzoli","https://www.royalroadcdn.com/public/covers-full/21374-epilogue.jpg","Revised version now available! Amazon paperback, ebook, audiobook, Kobo, B&N, Google","Portal Fantasy / Isekai, Psychological, Multiple Lead Characters, Contemporary, Secret Identity, Drama, Fantasy, Female Lead, High Fantasy, Low Fantasy, Magic, Male Lead, School Life, Supernatural"
"The Future That Never Was — The Rings Will Rise Again!","Space Pickle","https://www.royalroadcdn.com/public/covers-large/39266-the-future-that-never-was-a-cyberpunkspace.jpg?time=1655042539","WELCOME TO THE RETROFUTURE!","Anti-Hero Lead, Space Opera, War and Military, Comedy, Multiple Lead Characters, Action, Sci-fi, Tragedy, Artificial Intelligence, Attractive Lead, Cyberpunk, Dystopia, Female Lead, Genetically Engineered, Hard Sci-fi, Male Lead, Non-Human Lead, Slice of Life, Soft Sci-fi, Strong Lead, Technologically Engineered, Villainous Lead"
"To The Far Shore","Warby Picus","https://www.royalroadcdn.com/public/covers-large/50836-to-the-far-shore.jpg?time=1667876691","Post apocalyptic Oregon Trail.","Post Apocalyptic, Male Lead, Sci-fi, Slice of Life, Adventure, Fantasy, Romance, Attractive Lead, Dystopia, Genetically Engineered, Low Fantasy, Soft Sci-fi"
"The Worm of Brightlyre","Haid","https://www.royalroadcdn.com/public/covers-large/83103-the-worm-of-brightlyre.jpg?time=1712420986","Beneath the sky of worms, Insect Gods rule the subterranean world of Brightlyre.","Multiple Lead Characters, Strong Lead, Action, Adventure, Fantasy, Mystery, Female Lead, High Fantasy, Magic, Male Lead, Mythos, Non-Human Lead"
"Dreamer's Throne","WildCard","https://www.royalroadcdn.com/public/covers-large/dreamers-throne-aaaa2jw1grm.jpg?time=1679749450","It doesn’t matter how terrifying dreams get, so long as they stay dreams.","LitRPG, Portal Fantasy / Isekai, Progression, Anti-Hero Lead, Ruling Class, Adventure, Fantasy, Horror, Mystery, GameLit, High Fantasy, Magic, Reincarnation, Strong Lead, Supernatural"
"The Consequences of Meeting a Dragon","Rynn the Tired","https://www.royalroadcdn.com/public/covers-large/the-consequences-of-meeting-a-dragon-aabasmcjfxi.jpg?time=1662430688","Sixteen-year-old Thenio Iterune has a simple plan for his life: Work hard. Do well in school. Become a qualified wizard. Earn a good living. And maybe even make his parents proud of him someday.","Reincarnation, Progression, Multiple Lead Characters, Slice of Life, Drama, Fantasy, Mystery, High Fantasy, Magic, Male Lead"
"A Dearth of Choice (Dungeon Core)","Grim Tide","https://www.royalroadcdn.com/public/covers-full/a-dearth-of-choice-dungeon-core-aaaaipaxvhe.jpg?time=1649448842","A young dungeon core forms next to a lovely village, full of lovely people who would likely understand its plight of not wanting to murder them all if only it had a mouth with which to speak. Instead, everything goes horribly, terribly wrong.","LitRPG, Reincarnation, Dungeon, Comedy, Non-Human Lead, Action, Adventure, Fantasy, GameLit, High Fantasy, Magic, Supernatural"
"Hoard","Webbonomicon","https://www.royalroadcdn.com/public/covers-large/hoard-aacaemzjnxq.jpg?time=1698954798","Kaln wasn’t even trying to slay the dragon, it was just in the way of his revenge.","Ruling Class, Comedy, Male Lead, Slice of Life, Harem, Fantasy, Romance, Attractive Lead, High Fantasy, Magic, Strong Lead"
"The Flower That Bloomed Nowhere","Lurina","https://www.royalroadcdn.com/public/covers-large/28806-the-flower-that-bloomed-nowhere.jpg?time=1698809923","The world is in the midst of a golden age. Humanity has been largely united under a single government for two centuries, scarcity has been all but eliminated, and the human lifespan has been extended further than ever before, with many living for five centuries or longer. Yet cracks have begun to form in this utopia. Progress in science has outpaced social values, leading to conflict as the new generation struggles with the prospect of perpetual disenfranchisement under their all-but-unaging elders.","Time Loop, Anti-Hero Lead, Strategy, Psychological, Female Lead, Fantasy, Mystery, Sci-fi, Artificial Intelligence, Genetically Engineered, Magic, School Life, Time Travel"
"Shades Of Forever","Loate","https://www.royalroadcdn.com/public/covers-large/66587-shades-of-forever-sci-fi-eldritchpunk-comedy.jpg?time=1685634621","In an isolated valley, the last members of humanity scratch a living from what little nature remains. Life is hard, but peaceful, and Sky Memoriam's days are filled with preparations to assume the role of-","Progression, Post Apocalyptic, Comedy, Sci-fi, Action, Adventure, Soft Sci-fi"
"The Dungeon Without a System","StrangerDanger51","https://www.royalroadcdn.com/public/covers-large/48893-the-dungeon-without-a-system.jpg?time=1682054903","The unnamed main character wakes up as a Dungeon Core. Instead of being deep within the earth or in a cave, this newly-minted Dungeon Core finds himself drifting to the beach of an uncharted and uninhabited island.","Portal Fantasy / Isekai, Dungeon, Multiple Lead Characters, Strong Lead, Adventure, Fantasy, Genetically Engineered, High Fantasy, Magic, Non-Human Lead, Progression"
"Cinnamon Bun","RavensDagger","https://www.royalroadcdn.com/public/covers-large/31429-cinnamon-bun.jpg?time=1712049427","The world called out for a hero to purge it of a great evil. It received Broccoli Bunch, explorer, expert cleaner, occasional ghost-buster, and full time Cinnamon Bun.","LitRPG, Portal Fantasy / Isekai, Dungeon, Comedy, Steampunk, Action, Adventure, Fantasy, Female Lead, Magic, Slice of Life"
"Millennial Mage (A Slice of Life, Progression Fantasy)","JLMullins","https://www.royalroadcdn.com/public/covers-large/47826-millennial-mage-a-slice-of-life-progression.jpg?time=1709223081","Millennial Mage Books 1-6 has moved to Kindle Unlmited as well as being available in epub, paperback, and audiobook format!https://geni.us/MillennialMage","GameLit, Progression, Female Lead, Slice of Life, Action, Adventure, Fantasy, High Fantasy, Magic, Supernatural"
"Stray Cat Strut [Stubbing Never - lol]","RavensDagger","https://www.royalroadcdn.com/public/covers-large/33600-stray-cat-strut-stubbing-never-lol.jpg?time=1712049349","In the year 2057, the world has become a corporate-run utopia for the super-rich, and a hellhole for all the rest.","LitRPG, Progression, Post Apocalyptic, Super Heroes, Female Lead, Action, Sci-fi, Artificial Intelligence, Cyberpunk, Dystopia, First Contact, GameLit, Soft Sci-fi, Strong Lead, Technologically Engineered"
"Castle Kingside (Rewrite)","Gennon Asche","https://www.royalroadcdn.com/public/covers-full/castle-kingside-rewrite-aababfaiva8.jpg?time=1621963770","A puzzling encounter leaves Dimitry a beggar with a strange emblem on his wrist. Around him, people suffer as ruthless organizations, opportunistic nobles, and an overly pious church vie for power in a medieval land under constant siege by stone monstrosities rampaging from the coasts.","Portal Fantasy / Isekai, Ruling Class, Grimdark, Multiple Lead Characters, Action, Adventure, Fantasy, Mystery, High Fantasy, Magic, Male Lead, Reincarnation, Soft Sci-fi"
"The Power of Ten Book Four: Dynamo","RE Druin","https://www.royalroadcdn.com/public/covers-full/49030-power-of-ten-book-four-dynamo.jpg?time=1638373620","Discord Link at: TPoT link!    Always up if I'm online. This novel is complete at 510 Chapters and daily updates!","GameLit, Super Heroes, Martial Arts, Female Lead, Sci-fi, Action, Adventure, Fantasy, High Fantasy, Magic, Secret Identity, Technologically Engineered"
"This Used to be About Dungeons","Alexander Wales","https://www.royalroadcdn.com/public/covers-full/this-used-to-be-about-dungeons-49343.jpg?time=1628210433","This Used to be About Dungeons is a comfy slice-of-life adventuring story that occasionally features dungeons. Now complete.","Dungeon, Multiple Lead Characters, Slice of Life, Adventure, Fantasy, High Fantasy, Magic"
"The Ogre's Pendant & The Rat in the Pit (Completed)","J.M. Clarke (U Juggernaut)","https://www.royalroadcdn.com/public/covers-full/31194-the-ogres-pendant-the-rat-in-the-pit.jpg","The land is conquered.","Multiple Lead Characters, Strong Lead, Action, Adventure, Fantasy, Female Lead, High Fantasy, Magic, Male Lead"
"Split Second [A System-Based Progression LitRPG]","idkmanseemssketchy","https://www.royalroadcdn.com/public/covers-large/split-second-a-system-based-progression-litrpg-aadayetvqri.jpg?time=1665269155","Congratulations!","LitRPG, Time Travel, Progression, Anti-Hero Lead, Strategy, Action, Adventure, Fantasy, Female Lead, Magic, Multiple Lead Characters, Soft Sci-fi"
"The Lady's Handbook of Intrigue and Murder (High Fantasy Politics)","HaltWrite","https://www.royalroadcdn.com/public/covers-full/the-handbook-of-intrigue-and-murder-aadamy0pjre.jpg?time=1646151591","Summary:The daughter of a dying house is summoned to the Imperial City to meet and perhaps marry a handsome prince. It sounds like a fairy tale.","War and Military, Female Lead, Strong Lead, Action, Fantasy, Historical, Romance, Low Fantasy, Magic, Ruling Class, Strategy"
"Mage Tank","Cornman8700","https://www.royalroadcdn.com/public/covers-large/mage-tank-aacalggbnhq.jpg?time=1698861791","After being killed by a high-velocity tree-hug, Arlo is transported to a new world of skills, stats, and levels where those brave and talented enough to conquer ancient Delves are rewarded with incredible supernatural power. Unfortunately for Arlo, there is no tutorial, and he is immediately forced to tackle a Delve set to the highest difficulty with a party of adventurers who are not only strangers to him, but strangers to each other as well. Arlo has no armor, no weapons, no knowledge of the world at large, and his party is growing increasingly suspicious of his lack of preparation and paper-thin excuses for how he got there.","LitRPG, Portal Fantasy / Isekai, Dungeon, Comedy, Male Lead, Action, Adventure, Fantasy, High Fantasy, Magic, Progression, Reincarnation, Supernatural"
"Heart of Dorkness","RavensDagger","https://www.royalroadcdn.com/public/covers-full/44541-heart-of-dorkness.jpg?time=1648903689","When an accident causes the early death of two young women, one is chosen to become a hero, a saviour, and a servant of the God of Heroes!","LitRPG, Portal Fantasy / Isekai, Progression, Villainous Lead, Xianxia, Adventure, Fantasy, Romance, Female Lead, Harem, Magic, Mythos"
"Sunflower : [A sunflower based litRPG]","Razzmatazz","https://www.royalroadcdn.com/public/covers-large/52626-sunflower-a-sunflower-based-litrpg.jpg?time=1657093546","","LitRPG, Portal Fantasy / Isekai, Dungeon, Strategy, Psychological, Action, Adventure, Fantasy, Attractive Lead, Female Lead, Harem, High Fantasy, Magic, Male Lead, Non-Human Lead, Progression, Secret Identity, Slice of Life, Strong Lead, Supernatural"
"Saltworld: An Apocalypse LitRPG","Dissonance","https://www.royalroadcdn.com/public/covers-full/47621-saltworld-an-apocalypse-litrpg.jpg?time=1636813187","August 18, 2018. Earth is at peace.","LitRPG, Urban Fantasy, Progression, Post Apocalyptic, Male Lead, Action, Adventure, Fantasy, Magic, Mythos, Slice of Life, Strong Lead, Supernatural"
"I Became a [Biologist] in a Fantasy World!","Innate_Lymphoid_Cell","https://www.royalroadcdn.com/public/covers-full/33378-i-became-a-biologist-in-a-fantasy-world.jpg?time=1592326018","I loved Biology - always have, and always will. Unfortunately for me, years of fruitless research whittled away what little joy I had left in what I did. Escapism came in the form of reading isekai works, where the stresses of real life seemed so far away.Luckily, I was summoned to a fantasy world of magic, dragons, and other mythical beasts. I didn't even need to deal with the Demon Lord threat, since it seemed that my summoning was a mistake, and all they needed was the Hero who was coincidentally summoned together with me! There was no revenge subplot, no hidden trap directed against me, and they even paid me compensation for their mistake. At long last, I could finally do what I ever wanted to do - experiment for the fun of it!With my new class as a [Biologist], none of this fantasy world's mysteries will be left untouched. Even if the Demon Lord himself comes knocking, nothing will stop me from researching every nook and cranny there is to discover of the magical biology of this world!","Portal Fantasy / Isekai, Progression, Strategy, Comedy, Male Lead, Adventure, Fantasy, High Fantasy, Magic"
"Bog Standard Isekai: A LitRPG Progression Fantasy","Miles English","https://www.royalroadcdn.com/public/covers-large/bog-standard-isekai-aadazawcdhm.jpg?time=1685983973","Sometimes dying isn’t even the worst part of your day","LitRPG, Portal Fantasy / Isekai, Male Lead, Strong Lead, Action, Adventure, Fantasy, High Fantasy, Magic"
"Wander West, in Shadow","CloverCloverClover","https://www.royalroadcdn.com/public/covers-full/39018-wander-west-in-shadow.jpg?time=1614616822","BOOK 1 COMPLETED","Progression, Strategy, Multiple Lead Characters, Action, Adventure, Fantasy, Horror, High Fantasy, Magic, Male Lead"
"Blue Core","InadvisablyCompelled","https://www.royalroadcdn.com/public/covers-full/25082-blue-core.jpg?time=1641138016","Read the series on Amazon!","LitRPG, Dungeon, Non-Human Lead, Action, Adventure, Fantasy, Magic"
"The Screaming Plague of Ash (A Medical Horror Fantasy)","GLBertrand","https://www.royalroadcdn.com/public/covers-large/65271-the-screaming-plague-of-ash-medical-fantasy.jpg?time=1678506908","(WARNING: This book contains graphic descriptions of body horror, blood, gore, violence, and trauma based heavily on real-life medicine. There is occasional profanity, alcohol, and drug use at various points. This is not a story for the easily squeamish, pursue at your own risk!)","Post Apocalyptic, Ruling Class, Grimdark, Multiple Lead Characters, Fantasy, Historical, Horror, Mystery, High Fantasy, Low Fantasy, Magic, Male Lead, Mythos, Strategy, Supernatural"
"The Primal Hunter","Zogarth","https://www.royalroadcdn.com/public/covers-full/36049-the-primal-hunter.jpg?time=1641580443","Book 1 now available on Kindle, Kindle Unlimited & Audible","LitRPG, Progression, Anti-Hero Lead, Ruling Class, Psychological, Action, Adventure, Fantasy, GameLit, High Fantasy, Magic, Male Lead, Mythos, Strong Lead, Supernatural"
